User_ID,Recency,Frequency,Monetary,Is_Churn,prediction
c6781108,121,1,195.53,1,1.0
1e5bd791,315,1,259.12,1,1.0
a49da7a4,145,1,258.42,1,1.0
e08353ad,240,1,358.56,1,1.0
9d02cd04,356,1,186.01,1,1.0
543db6cb,92,1,457.16,1,1.0
d8b248a8,305,1,412.27,1,1.0
43f041a9,226,1,152.86,1,1.0
7c55fcf1,159,1,172.15,1,1.0
0eeae089,383,1,102.88,1,1.0
2f09e4cc,336,1,130.75,1,1.0
be546b16,384,1,20.82,1,1.0
c1eba76b,261,1,117.96,1,1.0
e5a8c4fa,113,1,304.81,1,1.0
ae345248,282,1,321.91,1,1.0
45a007f7,290,1,306.27,1,1.0
c8d6d2c6,87,1,145.27,1,1.0
204fab33,334,1,258.92,1,1.0
3d0aec60,308,1,331.26,1,1.0
4d7042f4,169,1,244.71,1,1.0
a5ed8855,183,1,149.57,1,1.0
f1cc2d2c,222,1,195.46,1,1.0
c1acaead,320,1,335.46,1,1.0
23b8db27,148,1,350.58,1,1.0
161325fd,270,1,282.17,1,1.0
2f2e35cd,261,1,353.56,1,1.0
a3609e3a,205,1,90.79,1,1.0
2498a9ec,388,1,54.95,1,1.0
7c19312f,136,1,151.48,1,1.0
6aa4872f,160,1,175.0,1,1.0
fbba70e8,341,1,104.95,1,1.0
bd612ab6,215,1,72.0,1,1.0
b7380b04,89,1,219.72,1,1.0
56c899ff,334,1,151.87,1,1.0
c814cdcc,306,1,340.9,1,1.0
5136adde,273,1,34.01,1,1.0
cd315692,160,1,457.75,1,1.0
f1dc18ef,186,1,232.35,1,1.0
e426ec00,90,1,427.96,1,1.0
d627f474,96,1,442.51,1,1.0
1e8db66c,343,1,12.81,1,1.0
9983f3fd,385,1,146.75,1,1.0
d2522951,149,1,235.46,1,1.0
95f62610,110,1,127.35,1,1.0
b3353bb8,373,1,242.41,1,1.0
3569a81f,395,1,296.22,1,1.0
dc0dbfa8,141,1,303.34,1,1.0
6c7ff37f,129,1,234.47,1,1.0
3495e6fe,195,1,201.48,1,1.0
a1a7c1e9,145,1,198.28,1,1.0
6.46E+06,92,1,247.07,1,1.0
c84cf1d8,397,1,107.48,1,1.0
0580edce,122,1,369.33,1,1.0
f49fc9d3,296,1,245.88,1,1.0
fc38d815,88,1,108.39,1,1.0
104cbed3,292,1,472.29,1,1.0
dc5953be,379,1,162.67,1,1.0
6b52b5c2,251,1,121.26,1,1.0
41b1a40a,78,1,107.26,1,1.0
75e0ba29,112,1,141.84,1,1.0
ed2e3289,368,1,96.96,1,1.0
3e5e2082,83,1,18.07,1,1.0
a44ab318,390,1,138.95,1,1.0
012f36dd,221,1,21.97,1,1.0
4c81ef62,136,1,153.39,1,1.0
72f040c8,85,1,53.13,1,1.0
ebbfafc3,274,1,320.14,1,1.0
e6b61602,395,1,187.16,1,1.0
065012c5,358,1,258.92,1,1.0
46ce5341,171,1,233.57,1,1.0
31761a11,200,1,147.18,1,1.0
519d967d,162,1,115.37,1,1.0
ac07a758,94,1,44.09,1,1.0
afaf6aa9,368,1,224.83,1,1.0
2dd4607e,246,1,394.67,1,1.0
4c628b08,301,1,448.73,1,1.0
ddd43296,278,1,86.46,1,1.0
0d83d591,182,1,307.92,1,1.0
367bd243,356,1,292.97,1,1.0
2c0885e0,397,1,347.18,1,1.0
b07db0f3,137,1,448.96,1,1.0
928bddf9,183,1,176.35,1,1.0
fe8a21d2,306,1,362.82,1,1.0
fbef474d,324,1,262.8,1,1.0
b74485f8,395,1,233.66,1,1.0
8a161e0a,266,1,346.75,1,1.0
2c3663ad,369,1,191.53,1,1.0
6e142ba6,289,1,406.21,1,1.0
8abeed6e,169,1,94.02,1,1.0
aacab2f6,225,1,248.35,1,1.0
1e119afc,143,1,66.04,1,1.0
c49a098e,289,1,191.7,1,1.0
5d45dd12,199,1,256.89,1,1.0
c266e272,291,1,175.71,1,1.0
bde0021d,202,1,229.46,1,1.0
e6a4031d,238,1,353.08,1,1.0
e4fddc69,362,1,306.09,1,1.0
d76e19c6,306,1,402.68,1,1.0
7a030df0,258,1,89.94,1,1.0
4340e57f,373,1,357.49,1,1.0
19d43000,388,1,39.49,1,1.0
d5fb8686,190,1,372.27,1,1.0
c6b46864,332,1,471.92,1,1.0
afc46410,107,1,458.34,1,1.0
3a2348ca,180,1,210.56,1,1.0
4c71ecf8,141,1,26.18,1,1.0
fb73ed45,232,1,367.12,1,1.0
a3880ba0,145,1,203.79,1,1.0
1cbd0192,262,1,458.39,1,1.0
415b6195,323,1,27.27,1,1.0
73e3bfdd,177,1,109.88,1,1.0
ac61f504,147,1,150.29,1,1.0
e37338ed,261,1,233.79,1,1.0
5a96e989,364,1,338.75,1,1.0
6281837d,328,1,308.27,1,1.0
8e934ff3,246,1,310.4,1,1.0
03b2bf85,300,1,71.69,1,1.0
bc2ca5e1,123,1,309.83,1,1.0
89cb8bb3,350,1,154.83,1,1.0
8a289896,125,1,244.59,1,1.0
6720d951,303,1,170.93,1,1.0
1f4fbea8,119,1,75.58,1,1.0
b717743a,374,1,215.72,1,1.0
c68d813a,117,1,278.01,1,1.0
fb1b3d3f,124,1,88.42,1,1.0
c9aec1e2,201,1,76.98,1,1.0
d95237bb,289,1,246.39,1,1.0
64272d22,92,1,442.46,1,1.0
3f298345,250,1,344.44,1,1.0
72c3e855,154,1,94.16,1,1.0
48cf349d,159,1,141.69,1,1.0
b1c9cd33,225,1,420.45,1,1.0
221a9af4,199,1,54.03,1,1.0
45e5b448,121,1,336.27,1,1.0
1c87705a,178,1,120.89,1,1.0
9a297ab5,108,1,111.29,1,1.0
